Estructura,Tamaño,Agregar,Miembro,Imprimir,Borrar,Limpiar
Lista Ordenada Dinámica,10,0.000286102294921875,0.0003337860107421875,0.0019311904907226562,0.00030994415283203125,0.0
Lista Ordenada Estática,10,0.0012636184692382812,0.0010013580322265625,0.0044345855712890625,0.0014543533325195312,0.00019073486328125
ABB Punteros,10,0.0005483627319335938,0.00035762786865234375,0.005030632019042969,0.000858306884765625,4.76837158203125e-05
ABB Vector Heap,10,0.000762939453125,0.0005483627319335938,0.005030632019042969,0.0006437301635742188,9.5367431640625e-05
Trie Punteros,10,0.004172325134277344,0.0016450881958007812,0.0179290771484375,0.0209808349609375,0.00016689300537109375
Trie Arreglos,10,0.0046253204345703125,0.0015735626220703125,0.025343894958496094,0.0021457672119140625,0.00045299530029296875
Tabla Hash Abierta,10,0.0022649765014648438,0.0010013580322265625,0.014448165893554688,0.0013589859008789062,0.00016689300537109375
Lista Ordenada Dinámica,50,0.0037431716918945312,0.007915496826171875,0.008368492126464844,0.0046253204345703125,4.76837158203125e-05
Lista Ordenada Estática,50,0.020956993103027344,0.01976490020751953,0.008153915405273438,0.020766258239746094,0.0010251998901367188
ABB Punteros,50,0.0036478042602539062,0.0031709671020507812,0.010776519775390625,0.0036001205444335938,7.152557373046875e-05
ABB Vector Heap,50,0.005054473876953125,0.0038385391235351562,0.007033348083496094,0.00247955322265625,0.00021457672119140625
Trie Punteros,50,0.010848045349121094,0.004291534423828125,0.03864765167236328,0.07164478302001953,0.00019073486328125
Trie Arreglos,50,0.012135505676269531,0.004172325134277344,0.06060600280761719,0.007700920104980469,0.0017642974853515625
Tabla Hash Abierta,50,0.009703636169433594,0.0035524368286132812,0.03154277801513672,0.005340576171875,0.000667572021484375
Lista Ordenada Dinámica,100,0.016546249389648438,0.031948089599609375,0.012087821960449219,0.011277198791503906,7.152557373046875e-05
Lista Ordenada Estática,100,0.08809566497802734,0.09722709655761719,0.015211105346679688,0.08792877197265625,0.001430511474609375
ABB Punteros,100,0.005888938903808594,0.005030632019042969,0.010633468627929688,0.006985664367675781,4.76837158203125e-05
ABB Vector Heap,100,0.01392364501953125,0.011014938354492188,0.014543533325195312,0.007939338684082031,0.0005960464477539062
Trie Punteros,100,0.031232833862304688,0.012302398681640625,0.10044574737548828,0.1520395278930664,0.00016689300537109375
Trie Arreglos,100,0.036597251892089844,0.0118255615234375,0.15480518341064453,0.017452239990234375,0.0047206878662109375
Tabla Hash Abierta,100,0.02777576446533203,0.009584426879882812,0.052094459533691406,0.010919570922851562,0.0009059906005859375
